TITLE="sinsin"
VARIABLES="x", "y", "z"
ZONE T="sin(x)sin(y)", I=100, J=100, F=POINT
4.77522 0.314159 -0.308407
4.83805 0.314159 -0.30658
4.90089 0.314159 -0.303543
4.96372 0.314159 -0.299309
5.02655 0.314159 -0.293892
5.08938 0.314159 -0.287317
5.15221 0.314159 -0.279607
5.21505 0.314159 -0.270793
5.27788 0.314159 -0.260911
5.34071 0.314159 -0.25
5.40354 0.314159 -0.238101
5.46637 0.314159 -0.225263
5.5292 0.314159 -0.211536
5.59204 0.314159 -0.196974
5.65487 0.314159 -0.181635
5.7177 0.314159 -0.165579
5.78053 0.314159 -0.14887
5.84336 0.314159 -0.131572
5.9062 0.314159 -0.113756
5.96903 0.314159 -0.0954909
6.03186 0.314159 -0.0768488
6.09469 0.314159 -0.0579034
6.15752 0.314159 -0.0387295
6.22036 0.314159 -0.0194027
0 0.376991 0
0.0628319 0.376991 0.0231147
0.125664 0.376991 0.0461382
0.188496 0.376991 0.0689797
0.251327 0.376991 0.0915489
0.314159 0.376991 0.113757
0.376991 0.376991 0.135516
0.439823 0.376991 0.15674
0.502655 0.376991 0.177345
0.565487 0.376991 0.197251
0.628319 0.376991 0.216378
0.69115 0.376991 0.234651
0.753982 0.376991 0.251999
0.816814 0.376991 0.268351
0.879646 0.376991 0.283645
0.942478 0.376991 0.297819
1.00531 0.376991 0.310818
1.06814 0.376991 0.32259
1.13097 0.376991 0.333089
1.19381 0.376991 0.342274
1.25664 0.376991 0.350107
1.31947 0.376991 0.356559
1.3823 0.376991 0.361604
1.44513 0.376991 0.365222
1.50796 0.376991 0.367398
1.5708 0.376991 0.368125
1.63363 0.376991 0.367398
1.69646 0.376991 0.365222
1.75929 0.376991 0.361604
1.82212 0.376991 0.356559
1.88496 0.376991 0.350107
1.94779 0.376991 0.342273
2.01062 0.376991 0.333089
2.07345 0.376991 0.32259
2.13628 0.376991 0.310818
2.19912 0.376991 0.297819
2.26195 0.376991 0.283645
2.32478 0.376991 0.268351
2.38761 0.376991 0.251998
2.45044 0.376991 0.234651
2.51327 0.376991 0.216378
2.57611 0.376991 0.197251
2.63894 0.376991 0.177345
2.70177 0.376991 0.15674
2.7646 0.376991 0.135515
2.82743 0.376991 0.113756
2.89027 0.376991 0.0915485
2.9531 0.376991 0.0689793
3.01593 0.376991 0.0461379
3.07876 0.376991 0.0231144
3.14159 0.376991 -3.83253e-07
3.20443 0.376991 -0.0231151
3.26726 0.376991 -0.0461386
3.33009 0.376991 -0.0689801
3.39292 0.376991 -0.0915493
3.45575 0.376991 -0.113757
3.51858 0.376991 -0.135516
3.58142 0.376991 -0.15674
3.64425 0.376991 -0.177346
3.70708 0.376991 -0.197251
3.76991 0.376991 -0.216379
3.83274 0.376991 -0.234652
3.89558 0.376991 -0.251999
3.95841 0.376991 -0.268352
4.02124 0.376991 -0.283645
4.08407 0.376991 -0.297819
4.1469 0.376991 -0.310818
4.20974 0.376991 -0.32259
4.27257 0.376991 -0.333089
4.3354 0.376991 -0.342274
4.39823 0.376991 -0.350107
4.46106 0.376991 -0.356559
4.52389 0.376991 -0.361604
4.58673 0.376991 -0.365222
4.64956 0.376991 -0.367398
4.71239 0.376991 -0.368125
4.77522 0.376991 -0.367398
4.83805 0.376991 -0.365222
4.90089 0.376991 -0.361604
4.96372 0.376991 -0.356559
5.02655 0.376991 -0.350107
5.08938 0.376991 -0.342273
5.15221 0.376991 -0.333089
5.21505 0.376991 -0.32259
5.27788 0.376991 -0.310818
5.34071 0.376991 -0.297819
5.40354 0.376991 -0.283644
5.46637 0.376991 -0.268351
5.5292 0.376991 -0.251998
5.59204 0.376991 -0.234651
5.65487 0.376991 -0.216378
5.7177 0.376991 -0.19725
5.78053 0.376991 -0.177345
5.84336 0.376991 -0.156739
5.9062 0.376991 -0.135515
5.96903 0.376991 -0.113756
6.03186 0.376991 -0.0915481
6.09469 0.376991 -0.0689789
6.15752 0.376991 -0.0461375
6.22036 0.376991 -0.023114
0 0.439823 0
0.0628319 0.439823 0.0267349
0.125664 0.439823 0.0533643
0.188496 0.439823 0.0797831
0.251327 0.439823 0.105887
0.314159 0.439823 0.131573
0.376991 0.439823 0.15674
0.439823 0.439823 0.181288
0.502655 0.439823 0.205121
0.565487 0.439823 0.228144
0.628319 0.439823 0.250267
0.69115 0.439823 0.271402
0.753982 0.439823 0.291466
0.816814 0.439823 0.31038
0.879646 0.439823 0.328069
0.942478 0.439823 0.344463
1.00531 0.439823 0.359497
1.06814 0.439823 0.373113
1.13097 0.439823 0.385257
1.19381 0.439823 0.39588
1.25664 0.439823 0.40494
1.31947 0.439823 0.412403
1.3823 0.439823 0.418238
1.44513 0.439823 0.422422
1.50796 0.439823 0.424939
1.5708 0.439823 0.425779
1.63363 0.439823 0.424939
1.69646 0.439823 0.422422
1.75929 0.439823 0.418238
1.82212 0.439823 0.412403
1.88496 0.439823 0.40494
1.94779 0.439823 0.395879
2.01062 0.439823 0.385257
2.07345 0.439823 0.373113
2.13628 0.439823 0.359497
2.19912 0.439823 0.344463
2.26195 0.439823 0.328068
2.32478 0.439823 0.31038
2.38761 0.439823 0.291466
2.45044 0.439823 0.271402
2.51327 0.439823 0.250266
2.57611 0.439823 0.228144
2.63894 0.439823 0.20512
2.70177 0.439823 0.181288
2.7646 0.439823 0.156739
2.82743 0.439823 0.131573
2.89027 0.439823 0.105887
